R0, 1 , # AKT2_[PI]_i+_PI_[PH]
R1, 1 , # AKT2_[PI]_i-_PI_[PH]
R2, 1 , # AKT2_p+_PPM1G_[(AKT2)]
R3, 1 , # AKT2_p+_TSC2_[(Ser1130)]
R4, 1 , # AKT2_p+_TSC2_[(Ser939)]
R5, 1 , # AKT2_p+_TSC2_[(Ser981)]
R6, 1 , # AKT2_p+_TSC2_[(Thr1462)]
R7, 1 , # GTP_gef_RHEB_[(G)]
R8, 1 , # IRS_[pY]_ppi+_PI3K_[SH2]
R9, 1 , # IRS_[pY]_ppi-_PI3K_[SH2]
R10, 1 , # PDK1_p+_AKT2_[(T309)]
R11, 1 , # PI3K_p+_PI_[(3)]
R12, 1 , # PI4K3alpha_p+_PI_[(4)]
R13, 1 , # PIPK1alpha_p+_PI_[(5)]
R14, 0 , # PPM1G_p-_EIF4EBP1_[(Ser65)]
R15, 0 , # PPM1G_p-_EIF4EBP1_[(Thr37)]
R16, 0 , # PPM1G_p-_EIF4EBP1_[(Thr46)]
R17, 0 , # PPM1G_p-_EIF4EBP1_[(Thr70)]
R18, 1 , # PTEN_p-_PI_[(3)]
R19, 1 , # RHEB_[switch1DSYDPTIEN]_ppi+_mTOR_[FATfα2fα3]
R20, 1 , # RHEB_[switch1DSYDPTIEN]_ppi-_mTOR_[FATfα2fα3]
R21, 1 , # RHEB_[switch1]_ppi+_mTOR_[Mheatmα2mα3mα4]
R22, 1 , # RHEB_[switch1]_ppi-_mTOR_[Mheatmα2mα3mα4]
R23, 1 , # RHEB_[switch2GQDEYSIFPQTYSIDIN]_ppi+_mTOR_[Nheatnα3tonα7]
R24, 1 , # RHEB_[switch2GQDEYSIFPQTYSIDIN]_ppi-_mTOR_[Nheatnα3tonα7]
R25, 1 , # RTK_p+_IRS_[(RTK)]
R26, 1 , # RTK_p-_IRS_[(RTK)]
R27, 1 , # SAC1M1L_p-_PI_[(4)]
R28, 1 , # SYNJ2_p-_PI_[(5)]
R29, 0 , # TSC1_[Cterminus]_ppi+_TSC2_[Nterminus]
R30, 1 , # TSC1_[Cterminus]_ppi-_TSC2_[Nterminus]
R31, 0 , # TSC2_gap_RHEB_[(G)]
R32, 1 , # [Output]
R33, 0 , # eIF4E_[A001]_ppi+_EIF4EBP1_[A001]
R34, 1 , # eIF4E_[A001]_ppi+_eIF4G_[A002]
R35, 1 , # eIF4E_[A001]_ppi-_EIF4EBP1_[A001]
R36, 1 , # eIF4E_[A001]_ppi-_eIF4G_[A002]
R37, 0 , # mTORC1_p+_EIF4EBP1_[(Ser65)]
R38, 0 , # mTORC1_p+_EIF4EBP1_[(Thr37)]
R39, 0 , # mTORC1_p+_EIF4EBP1_[(Thr46)]
R40, 0 , # mTORC1_p+_EIF4EBP1_[(Thr70)]
R41, 1 , # mTORC2_p+_AKT2_[(S474)]
R42, 1 , # mTOR_[Raptor]_ppi+_Raptor_[mTOR]
R43, 1 , # mitogen_[EGFR]_ppi+_EGFR_[mitogen]
R44, 1 , # mitogen_[EGFR]_ppi-_EGFR_[mitogen]
R45, 1 , # nk_p-_TSC2_[(Ser1130)]
R46, 1 , # nk_p-_TSC2_[(Ser939)]
R47, 1 , # nk_p-_TSC2_[(Ser981)]
R48, 1 , # nk_p-_TSC2_[(Thr1462)]
R49, 1 , # nn_p-_AKT2_[(S474)]
