"R0",0,0,0,0,0,0,0,1,1,1
"R1",0,1,1,1,1,1,1,0,0,0
"R2",0,0,0,0,0,0,0,1,1,1
"R3",0,0,0,0,0,1,1,1,1,0
"R4",0,0,0,1,1,1,1,1,1,0
"R5",0,0,0,1,1,1,1,1,1,0
"R6",0,0,0,0,0,1,1,1,1,0
"S0",1,1,1,1,1,1,0,0,0,0
"S1",0,0,0,0,0,0,1,1,1,1
"S2",1,1,1,1,0,0,0,0,0,0
"S3",0,0,0,0,1,1,1,1,1,1
"S4",1,1,1,1,0,0,0,0,0,0
"S5",0,0,0,0,1,1,1,1,1,1
"S6",1,1,1,1,1,1,0,0,0,0
"S7",0,0,0,0,0,0,1,1,1,1
"S8",1,1,0,0,0,0,0,0,1,1
"S9",0,0,1,1,1,1,1,1,0,0
"S10",1,1,1,1,1,1,1,1,1,1
"S11",1,1,0,0,0,0,0,0,1,1
"S12",1,1,1,1,1,1,1,1,1,1
