R0, 0 , # AKT2_[PI]_i+_PI_[PH]
R1, 1 , # AKT2_[PI]_i-_PI_[PH]
R2, 0 , # AKT2_p+_PPM1G_[(AKT2)]
R3, 0 , # AKT2_p+_TSC2_[(Ser1130)]
R4, 0 , # AKT2_p+_TSC2_[(Ser939)]
R5, 0 , # AKT2_p+_TSC2_[(Ser981)]
R6, 0 , # AKT2_p+_TSC2_[(Thr1462)]
R7, 0 , # GTP_gef_RHEB_[(G)]
R8, 0 , # INPP4B_p-_PI_[(4)]
R9, 0 , # IRS_[pY]_ppi+_PI3K_[SH2]
R10, 1 , # IRS_[pY]_ppi-_PI3K_[SH2]
R11, 0 , # PDK1_p+_AKT2_[(T309)]
R12, 0 , # PI3K_p+_PI_[(3)]
R13, 1 , # PI4K3alpha_p+_PI_[(4)]
R14, 1 , # PIPK1alpha_p+_PI_[(5)]
R15, 0 , # PIPP_p-_PI_[(5)]
R16, 1 , # PPM1G_p-_EIF4EBP1_[(Ser65)]
R17, 1 , # PPM1G_p-_EIF4EBP1_[(Thr37)]
R18, 1 , # PPM1G_p-_EIF4EBP1_[(Thr46)]
R19, 1 , # PPM1G_p-_EIF4EBP1_[(Thr70)]
R20, 1 , # PTEN_p-_PI_[(3)]
R21, 0 , # RHEB_[switch1DSYDPTIEN]_ppi+_mTOR_[FATfα2fα3]
R22, 1 , # RHEB_[switch1DSYDPTIEN]_ppi-_mTOR_[FATfα2fα3]
R23, 0 , # RHEB_[switch1]_ppi+_mTOR_[Mheatmα2mα3mα4]
R24, 1 , # RHEB_[switch1]_ppi-_mTOR_[Mheatmα2mα3mα4]
R25, 0 , # RHEB_[switch2GQDEYSIFPQTYSIDIN]_ppi+_mTOR_[Nheatnα3tonα7]
R26, 1 , # RHEB_[switch2GQDEYSIFPQTYSIDIN]_ppi-_mTOR_[Nheatnα3tonα7]
R27, 0 , # RTK_p+_IRS_[(RTK)]
R28, 1 , # RTK_p-_IRS_[(RTK)]
R29, 1 , # SAC1M1L_p-_PI_[(4)]
R30, 1 , # SYNJ2_p-_PI_[(5)]
R31, 1 , # TSC1_[Cterminus]_ppi+_TSC2_[Nterminus]
R32, 0 , # TSC1_[Cterminus]_ppi-_TSC2_[Nterminus]
R33, 1 , # TSC2_gap_RHEB_[(G)]
R34, 0 , # [Output]
R35, 1 , # eIF4E_[A001]_ppi+_EIF4EBP1_[A001]
R36, 0 , # eIF4E_[A001]_ppi+_eIF4G_[A002]
R37, 0 , # eIF4E_[A001]_ppi-_EIF4EBP1_[A001]
R38, 1 , # eIF4E_[A001]_ppi-_eIF4G_[A002]
R39, 0 , # mTORC1_p+_EIF4EBP1_[(Ser65)]
R40, 0 , # mTORC1_p+_EIF4EBP1_[(Thr37)]
R41, 0 , # mTORC1_p+_EIF4EBP1_[(Thr46)]
R42, 0 , # mTORC1_p+_EIF4EBP1_[(Thr70)]
R43, 0 , # mTORC2_p+_AKT2_[(S474)]
R44, 1 , # mTOR_[Raptor]_ppi+_Raptor_[mTOR]
