"S24,",1,",",# , IRS_[pY]--0
"S25,",0,",",# , IRS_[pY]--PI3K_[SH2]
"S26,",1,",",# , IR_[insulin]--0
"S27,",1,",",# , IR_[insulin]--insulin_[IR]
"S28,",1,",",# , PDK1
"S29,",1,",",# , PHLPP1
"S30,",1,",",# , PI3K_[SH2]--0
"S31,",1,",",# , PI4K3alpha
"S32,",1,",",# , PIPK1alpha
"S33,",1,",",# , PIPP
"S34,",1,",",# , PI_[(3)]-{0}
"S35,",0,",",# , PI_[(3)]-{p}
"S36,",1,",",# , PI_[(4)]-{0}
"S37,",1,",",# , PI_[(4)]-{p}
"S38,",1,",",# , PI_[(5)]-{0}
"S39,",1,",",# , PI_[(5)]-{p}
"S40,",1,",",# , PI_[PH]--0
"S41,",1,",",# , PP2A
"S42,",1,",",# , PP5
"S43,",1,",",# , PPM1G_[(AKT2)]-{0}
"S44,",0,",",# , PPM1G_[(AKT2)]-{p}
"S45,",1,",",# , PTEN
"S46,",1,",",# , RHEB_[(G)]-{0}
"S47,",0,",",# , RHEB_[(G)]-{gtp}
"S48,",1,",",# , RHEB_[switch1DSYDPTIEN]--0
"S49,",0,",",# , RHEB_[switch1DSYDPTIEN]--mTOR_[FATfα2fα3]
"S50,",1,",",# , RHEB_[switch1]--0
"S51,",0,",",# , RHEB_[switch1]--mTOR_[Mheatmα2mα3mα4]
"S52,",1,",",# , RHEB_[switch2GQDEYSIFPQTYSIDIN]--0
"S53,",0,",",# , RHEB_[switch2GQDEYSIFPQTYSIDIN]--mTOR_[Nheatnα3tonα7]
"S54,",0,",",# , Raptor_[TOS]--0
"S55,",1,",",# , Raptor_[TOS]--S6K1_[TOS]
"S56,",0,",",# , Raptor_[mTOR]--0
"S57,",1,",",# , Raptor_[mTOR]--mTOR_[Raptor]
"S58,",0,",",# , S6K1_[(T389)]-{0}
"S59,",1,",",# , S6K1_[(T389)]-{p}
"S60,",0,",",# , S6K1_[TOS]--0
"S61,",1,",",# , SAC1M1L
"S62,",1,",",# , SYNJ2
"S63,",0,",",# , TSC1_[Cterminus]--0
"S64,",1,",",# , TSC1_[Cterminus]--TSC2_[Nterminus]
"S65,",1,",",# , TSC2_[(Ser1130)]-{0}
"S66,",0,",",# , TSC2_[(Ser1130)]-{p}
"S67,",1,",",# , TSC2_[(Ser939)]-{0}
"S68,",0,",",# , TSC2_[(Ser939)]-{p}
"S69,",1,",",# , TSC2_[(Ser981)]-{0}
"S70,",0,",",# , TSC2_[(Ser981)]-{p}
"S71,",1,",",# , TSC2_[(Thr1462)]-{0}
"S72,",0,",",# , TSC2_[(Thr1462)]-{p}
"S73,",0,",",# , TSC2_[Nterminus]--0
"S74,",1,",",# , [EIF4EBP1]
"S75,",1,",",# , [IR]
"S76,",1,",",# , [Raptor]
"S77,",1,",",# , [activatedIR]
"S78,",0,",",# , [activatedPI3K]
"S79,",1,",",# , [eIF4E]
"S80,",1,",",# , [eIF4G]
"S81,",0,",",# , [insulin]
"S82,",1,",",# , [mTOR]
"S83,",1,",",# , eIF4E_[A001]--0
"S84,",0,",",# , eIF4E_[A001]--eIF4G_[A002]
"S85,",1,",",# , eIF4G_[A002]--0
"S86,",1,",",# , insulin_[IR]--0
"S87,",1,",",# , mTORC1
"S88,",1,",",# , mTORC2
"S89,",1,",",# , mTOR_[FATfα2fα3]--0
"S90,",1,",",# , mTOR_[Mheatmα2mα3mα4]--0
"S91,",1,",",# , mTOR_[Nheatnα3tonα7]--0
"S92,",0,",",# , mTOR_[Raptor]--0
"S93,",1,",",# , unk
