"R0",0,0,0,0,0,0
"R1",1,1,1,1,1,1
"R2",0,0,0,0,0,0
"R3",0,0,0,0,0,0
"R4",0,0,0,0,0,0
"R5",0,0,0,0,0,0
"R6",0,0,0,0,0,0
"R7",0,0,0,0,0,0
"R8",0,0,0,0,0,0
"R9",0,0,0,0,0,0
"R10",1,1,1,1,1,1
"R11",1,1,1,1,0,0
"R12",1,1,1,1,1,1
"R13",0,0,0,0,0,0
"R14",1,1,1,1,1,1
"R15",0,0,0,0,0,0
"R16",1,1,1,1,1,1
"R17",1,1,1,1,1,1
"R18",0,0,0,0,0,0
"R19",1,1,1,1,1,1
"R20",1,1,1,1,1,1
"R21",1,1,1,1,1,1
"R22",1,1,1,1,1,1
"R23",1,1,1,1,1,1
"R24",1,1,1,1,1,1
"R25",1,1,1,1,1,1
"R26",1,1,1,1,1,1
"R27",1,1,1,1,1,1
"R28",1,1,1,1,1,1
"R29",0,0,0,0,0,0
"R30",1,1,1,1,1,1
"R31",0,0,0,0,0,0
"R32",1,1,1,1,1,1
"R33",0,0,0,0,0,0
"R34",1,1,1,1,1,1
"R35",0,0,0,0,0,0
"R36",1,1,1,1,1,1
"R37",1,1,1,1,1,1
"R38",1,1,1,1,1,1
"R39",1,1,1,1,1,1
"R40",1,1,1,1,1,1
"R41",0,0,0,0,0,0
"R42",1,1,1,1,1,1
"R43",0,0,0,0,0,0
"R44",1,1,1,1,1,1
"R45",0,0,0,0,0,0
"R46",0,0,0,0,0,0
"R47",1,1,1,1,1,1
"R48",1,0,0,0,0,0
"R49",1,1,1,1,1,1
"R50",0,0,0,0,0,0
"R51",0,0,0,0,0,0
"R52",0,0,0,0,0,0
"R53",0,0,0,0,0,0
"R54",0,0,0,0,0,0
"R55",1,1,1,1,1,1
"R56",0,0,0,0,0,0
"R57",1,1,1,1,1,1
"S0",1,1,1,1,1,1
"S1",0,0,0,0,0,0
"S2",1,1,1,1,1,1
"S3",0,0,0,0,0,0
"S4",1,1,1,1,1,1
"S5",0,0,0,0,0,0
"S6",1,1,1,1,1,1
"S7",0,0,0,0,0,0
"S8",1,1,1,1,1,1
"S9",0,0,0,0,0,0
"S10",1,1,1,1,1,1
"S11",0,0,0,0,0,0
"S12",1,1,1,1,1,1
"S13",0,0,0,0,0,0
"S14",0,0,0,0,0,0
"S15",1,1,1,1,1,1
"S16",1,1,1,1,1,1
"S17",1,1,1,1,1,1
"S18",0,0,0,0,0,0
"S19",1,1,1,1,1,1
"S20",0,0,0,0,0,0
"S21",1,1,1,1,1,1
"S22",1,1,1,1,1,1
"S23",1,1,1,1,1,0
"S24",1,1,1,1,1,1
"S25",0,0,0,0,0,0
"S26",1,1,1,1,1,1
"S27",1,1,0,0,0,0
"S28",1,1,1,1,1,1
"S29",1,1,1,1,1,1
"S30",1,1,1,1,1,1
"S31",1,1,1,1,1,1
"S32",1,1,1,1,1,1
"S33",1,1,1,1,1,1
"S34",1,1,1,1,1,1
"S35",0,0,0,0,0,0
"S36",1,1,1,1,1,1
"S37",1,1,1,1,1,1
"S38",1,1,1,1,1,1
"S39",1,1,1,1,1,1
"S40",1,1,1,1,1,1
"S41",1,1,1,1,1,1
"S42",1,1,1,1,1,1
"S43",1,1,1,1,1,1
"S44",0,0,0,0,0,0
"S45",1,1,1,1,1,1
"S46",1,1,1,1,1,1
"S47",0,0,0,0,0,0
"S48",1,1,1,1,1,1
"S49",0,0,0,0,0,0
"S50",1,1,1,1,1,1
"S51",0,0,0,0,0,0
"S52",1,1,1,1,1,1
"S53",0,0,0,0,0,0
"S54",0,0,0,0,0,0
"S55",1,1,1,1,1,1
"S56",0,0,0,0,0,0
"S57",1,1,1,1,1,1
"S58",0,0,0,0,0,0
"S59",1,1,1,1,1,1
"S60",0,0,0,0,0,0
"S61",1,1,1,1,1,1
"S62",1,1,1,1,1,1
"S63",0,0,0,0,0,0
"S64",1,1,1,1,1,1
"S65",1,1,1,1,1,1
"S66",0,0,0,0,0,0
"S67",1,1,1,1,1,1
"S68",0,0,0,0,0,0
"S69",1,1,1,1,1,1
"S70",0,0,0,0,0,0
"S71",1,1,1,1,1,1
"S72",0,0,0,0,0,0
"S73",0,0,0,0,0,0
"S74",1,1,1,1,1,1
"S75",1,1,1,1,1,1
"S76",1,1,1,1,1,1
"S77",1,1,1,0,0,0
"S78",0,0,0,0,0,0
"S79",1,1,1,1,1,1
"S80",1,1,1,1,1,1
"S81",0,0,0,0,0,0
"S82",1,1,1,1,1,1
"S83",1,1,1,1,1,1
"S84",0,0,0,0,0,0
"S85",1,1,1,1,1,1
"S86",1,1,1,1,1,1
"S87",1,1,1,1,1,1
"S88",1,1,1,1,1,1
"S89",1,1,1,1,1,1
"S90",1,1,1,1,1,1
"S91",1,1,1,1,1,1
"S92",0,0,0,0,0,0
"S93",1,1,1,1,1,1
